date,symbol,file,status,bytes
2026-07-24,0GUSDT,0GUSDT-1m-2026-07-24.zip,ok,26473
2026-07-24,0GUSDT,0GUSDT-aggTrades-2026-07-24.zip,ok,36801
2026-07-24,1000CATUSDT,1000CATUSDT-1m-2026-07-24.zip,ok,18674
2026-07-24,1000CATUSDT,1000CATUSDT-aggTrades-2026-07-24.zip,ok,20280
2026-07-24,1000CHEEMSUSDT,1000CHEEMSUSDT-1m-2026-07-24.zip,ok,44707
2026-07-24,1000CHEEMSUSDT,1000CHEEMSUSDT-aggTrades-2026-07-24.zip,ok,361139
2026-07-24,1000SATSUSDT,1000SATSUSDT-1m-2026-07-24.zip,ok,25664
2026-07-24,1000SATSUSDT,1000SATSUSDT-aggTrades-2026-07-24.zip,ok,41600
2026-07-24,1INCHUSDT,1INCHUSDT-1m-2026-07-24.zip,ok,33481
2026-07-24,1INCHUSDT,1INCHUSDT-aggTrades-2026-07-24.zip,ok,87752
2026-07-24,1MBABYDOGEUSDT,1MBABYDOGEUSDT-1m-2026-07-24.zip,ok,21261
2026-07-24,1MBABYDOGEUSDT,1MBABYDOGEUSDT-aggTrades-2026-07-24.zip,ok,25842
2026-07-24,2ZUSDT,2ZUSDT-1m-2026-07-24.zip,ok,23063
2026-07-24,2ZUSDT,2ZUSDT-aggTrades-2026-07-24.zip,ok,43549
2026-07-24,AAOIBUSDT,AAOIBUSDT-1m-2026-07-24.zip,ok,27223
2026-07-24,AAOIBUSDT,AAOIBUSDT-aggTrades-2026-07-24.zip,ok,71051
2026-07-24,ACEUSDT,ACEUSDT-1m-2026-07-24.zip,ok,47174
2026-07-24,ACEUSDT,ACEUSDT-aggTrades-2026-07-24.zip,ok,1077276
2026-07-24,ACHUSDT,ACHUSDT-1m-2026-07-24.zip,ok,24024
2026-07-24,ACHUSDT,ACHUSDT-aggTrades-2026-07-24.zip,ok,40946
2026-07-24,ACMUSDT,ACMUSDT-1m-2026-07-24.zip,ok,22989
2026-07-24,ACMUSDT,ACMUSDT-aggTrades-2026-07-24.zip,ok,30268
2026-07-24,ACTUSDT,ACTUSDT-1m-2026-07-24.zip,ok,31187
2026-07-24,ACTUSDT,ACTUSDT-aggTrades-2026-07-24.zip,ok,61806
2026-07-24,ACXUSDT,ACXUSDT-1m-2026-07-24.zip,ok,29055
2026-07-24,ACXUSDT,ACXUSDT-aggTrades-2026-07-24.zip,ok,178167
2026-07-24,ADXUSDT,ADXUSDT-1m-2026-07-24.zip,ok,29153
2026-07-24,ADXUSDT,ADXUSDT-aggTrades-2026-07-24.zip,ok,68418
2026-07-24,AEVOUSDT,AEVOUSDT-1m-2026-07-24.zip,ok,21856
2026-07-24,AEVOUSDT,AEVOUSDT-aggTrades-2026-07-24.zip,ok,28857
2026-07-24,AGLDUSDT,AGLDUSDT-1m-2026-07-24.zip,ok,26977
2026-07-24,AGLDUSDT,AGLDUSDT-aggTrades-2026-07-24.zip,ok,52451
2026-07-24,AIUSDT,AIUSDT-1m-2026-07-24.zip,ok,21836
2026-07-24,AIUSDT,AIUSDT-aggTrades-2026-07-24.zip,ok,26607
2026-07-24,AIXBTUSDT,AIXBTUSDT-1m-2026-07-24.zip,ok,23700
2026-07-24,AIXBTUSDT,AIXBTUSDT-aggTrades-2026-07-24.zip,ok,50038
2026-07-24,ALGOUSDT,ALGOUSDT-1m-2026-07-24.zip,ok,31795
2026-07-24,ALGOUSDT,ALGOUSDT-aggTrades-2026-07-24.zip,ok,126640
2026-07-24,ALICEUSDT,ALICEUSDT-1m-2026-07-24.zip,ok,30422
2026-07-24,ALICEUSDT,ALICEUSDT-aggTrades-2026-07-24.zip,ok,101840
2026-07-24,ALPINEUSDT,ALPINEUSDT-1m-2026-07-24.zip,ok,17250
2026-07-24,ALPINEUSDT,ALPINEUSDT-aggTrades-2026-07-24.zip,ok,22436
2026-07-24,ALTUSDT,ALTUSDT-1m-2026-07-24.zip,ok,18103
2026-07-24,ALTUSDT,ALTUSDT-aggTrades-2026-07-24.zip,ok,21845
2026-07-24,AMDBUSDT,AMDBUSDT-1m-2026-07-24.zip,ok,27866
2026-07-24,AMDBUSDT,AMDBUSDT-aggTrades-2026-07-24.zip,ok,101744
2026-07-24,AMPUSDT,AMPUSDT-1m-2026-07-24.zip,ok,27622
2026-07-24,AMPUSDT,AMPUSDT-aggTrades-2026-07-24.zip,ok,60001
2026-07-24,ANIMEUSDT,ANIMEUSDT-1m-2026-07-24.zip,ok,21585
2026-07-24,ANIMEUSDT,ANIMEUSDT-aggTrades-2026-07-24.zip,ok,58444
2026-07-24,ANKRUSDT,ANKRUSDT-1m-2026-07-24.zip,ok,16597
2026-07-24,ANKRUSDT,ANKRUSDT-aggTrades-2026-07-24.zip,ok,17571
2026-07-24,APEUSDT,APEUSDT-1m-2026-07-24.zip,ok,38085
2026-07-24,APEUSDT,APEUSDT-aggTrades-2026-07-24.zip,ok,142899
2026-07-24,API3USDT,API3USDT-1m-2026-07-24.zip,ok,30027
2026-07-24,API3USDT,API3USDT-aggTrades-2026-07-24.zip,ok,91488
2026-07-24,APTUSDT,APTUSDT-1m-2026-07-24.zip,ok,33578
2026-07-24,APTUSDT,APTUSDT-aggTrades-2026-07-24.zip,ok,98615
2026-07-24,ARBUSDT,ARBUSDT-1m-2026-07-24.zip,ok,38235
2026-07-24,ARBUSDT,ARBUSDT-aggTrades-2026-07-24.zip,ok,142095
2026-07-24,ARKMUSDT,ARKMUSDT-1m-2026-07-24.zip,ok,28241
2026-07-24,ARKMUSDT,ARKMUSDT-aggTrades-2026-07-24.zip,ok,71120
2026-07-24,ARKUSDT,ARKUSDT-1m-2026-07-24.zip,ok,13764
2026-07-24,ARKUSDT,ARKUSDT-aggTrades-2026-07-24.zip,ok,8777
2026-07-24,ARMBUSDT,ARMBUSDT-1m-2026-07-24.zip,ok,21876
2026-07-24,ARMBUSDT,ARMBUSDT-aggTrades-2026-07-24.zip,ok,41816
2026-07-24,ARPAUSDT,ARPAUSDT-1m-2026-07-24.zip,ok,22776
2026-07-24,ARPAUSDT,ARPAUSDT-aggTrades-2026-07-24.zip,ok,37290
2026-07-24,ARUSDT,ARUSDT-1m-2026-07-24.zip,ok,29971
2026-07-24,ARUSDT,ARUSDT-aggTrades-2026-07-24.zip,ok,74770
